Date,Open,High,Low,Close,correlation
2022-08-29,4034.58,4062.99,4017.42,4030.61,0.3177857635924691
2022-08-30,4041.25,4044.98,3965.21,3986.16,0.2604556244598373
2022-08-31,4000.67,4015.37,3954.53,3955.0,0.27687799316805456
2022-09-01,3936.73,3970.23,3903.65,3966.85,0.19562965786662204
2022-09-02,3996.39,4018.43,3906.21,3924.26,0.03110095905558495
2022-09-03,3996.39,4018.43,3906.21,3924.26,-0.13572538590024863
2022-09-04,3996.39,4018.43,3906.21,3924.26,-0.48334093405856476
2022-09-05,3996.39,4018.43,3906.21,3924.26,-0.8982893653695303
2022-09-06,3930.89,3942.55,3886.75,3908.19,-0.8617011762310712
2022-09-07,3909.43,3987.89,3906.03,3979.87,-0.6850529715020458
2022-09-08,3959.94,4010.5,3944.81,4006.18,-0.32462590657670826
2022-09-09,4022.94,4076.81,4022.94,4067.36,-0.08353827761948576
2022-09-10,4022.94,4076.81,4022.94,4067.36,-0.029415790145160544
2022-09-11,4022.94,4076.81,4022.94,4067.36,0.08313532671202606
2022-09-12,4083.67,4119.28,4083.67,4110.41,-0.17617668206844328
2022-09-13,4037.12,4037.12,3921.28,3932.69,-0.037576097495815225
2022-09-14,3940.73,3961.94,3912.18,3946.01,0.003902910853535122
2022-09-15,3932.41,3959.14,3888.28,3901.35,0.172750273581794
2022-09-16,3880.95,3880.95,3837.08,3873.33,0.31289314181747074
2022-09-17,3880.95,3880.95,3837.08,3873.33,0.41399801704766437
2022-09-18,3880.95,3880.95,3837.08,3873.33,0.522094837400946
2022-09-19,3849.91,3900.45,3838.5,3899.89,0.5863831211429287
2022-09-20,3875.23,3876.01,3827.54,3855.93,0.7214808222878211
2022-09-21,3871.4,3907.07,3789.49,3789.93,0.78561739344722
2022-09-22,3782.36,3790.9,3749.45,3757.99,0.8410282159827334
2022-09-23,3727.14,3727.14,3647.47,3693.23,0.7865219660269
2022-09-24,3727.14,3727.14,3647.47,3693.23,0.7167039908301164
2022-09-25,3727.14,3727.14,3647.47,3693.23,0.6149381124436173
2022-09-26,3682.72,3715.67,3644.76,3655.04,0.3835609711426488
2022-09-27,3686.44,3717.53,3623.29,3647.29,0.25982734811838476
2022-09-28,3651.94,3736.74,3640.61,3719.04,-0.11338834733254699
2022-09-29,3687.01,3687.01,3610.4,3640.47,-0.0007152112804633245
2022-09-30,3633.48,3671.44,3584.13,3585.62,-0.23917147487347956
2022-10-01,3633.48,3671.44,3584.13,3585.62,-0.4108293934713301
2022-10-02,3633.48,3671.44,3584.13,3585.62,-0.2619197924671839
2022-10-03,3609.78,3698.35,3604.93,3678.43,-0.3235315601176656
